,a49,a51,a12,a101,a10,a18,a17,a46,a38,a34,a5,a28,a43,a42,a11,a13,a20,a83,a47,a8,a16,a30,a45,a7,a14,a55,a60
AAPL,-0.00999413143844185,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-5.529380342574696e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.939539811251883e-05,-0.0,0.0,-0.0
MSFT,-0.005503046700971075,-1.08047001633127e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.168446055851086e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-3.8058221264312286e-05,0.0,0.0,-0.0
AMZN,-0.007093307551326337,-1.8074549944146362e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-4.887683397166608e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-5.7174002477270984e-05,-0.0,-0.0,-0.0
GOOGL,-0.014786530940601676,-4.48953095959962e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.6606083856128133e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-8.285885734080832e-07,-0.0,-2.0700068730577438e-05,-0.0,-0.0,-0.0
GOOG,-0.014858658093888063,-1.798290166072791e-17,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.6907383790792572e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.8955277620108126e-05,0.0,-0.0,-0.0
TSLA,-0.0077622748846617,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.00015849329028495601,-0.00010175511826362096,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.00022787023566211444,0.0,-0.0,-0.0
META,-0.004586799344776871,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.1451146278520917e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-2.6051523412303478e-05,0.0,-0.0,-0.0
NVDA,-0.010386601659292317,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.131053601405749e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.00014091370984007853,-0.0,-0.0,-0.0
PYPL,-0.00627784592359825,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.615134611874795e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-7.23761061108357e-05,-0.0,0.0,-0.0
NFLX,-0.0023475302243267347,-5.963915708563267e-19,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.60906015014199e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.968385572419344e-05,-0.0,-0.0,-0.0
